tag	area_code	subtitle_location	drawing	level	project_site
5011B-SS1	5011B	BATCH HOUSE +8.190...+9.965	DE040721A	+8.190...+9.965	CINER GLASS BELGIUM
50A4	50A4	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50B1	50B1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50C1	50C1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50D1	50D1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50F1	50F1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50G1	50G1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50H1	50H1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50J1	50J1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50K1	50K1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50L1	50L1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50M1	50M1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50N1	50N1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50P1	50P1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50Q1	50Q1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50R1	50R1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50S1	50S1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50T1	50T1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50U1	50U1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50V1	50V1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50W1	50W1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50X1	50X1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50Y1	50Y1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
50Z1	50Z1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
5111-TB1	5111	BATCH HOUSE +5.135	DE040720A	5.135	CINER GLASS BELGIUM
51A1	51A1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51B1	51B1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51C1	51C1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51D1	51D1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51F1	51F1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51G1	51G1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51H1	51H1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51J1	51J1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51K1	51K1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51L1	51L1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51M1	51M1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51N1	51N1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51P1	51P1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
